,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
802,ضجار2001,اختيارخ وتجارت-2000-1400/02/22,2,20,22000000,1221,1150,1050,-171,-14.0,1100,-121,-9.91,1050,1150,1399-11-20
803,شستا004,اجاره تامين اجتماعي-نوين000523,2,10,10029000,990000,1000000,1029000,39000,3.94,1002900,12900,1.3,1000000,1029000,1399-11-20
804,اخزا7184,اسنادخزانه-م18بودجه97-000525,2,2498000,2274160465000,910076,910709,910076,0,0.0,910392,316,0.03,910076,910709,1399-11-20
805,اراد644,مرابحه عام دولتي64-ش.خ0111,2,6000000,5667960000000,944500,944820,944500,0,0.0,944660,160,0.02,944500,944820,1399-11-20
806,اخزا720,اسنادخزانه-م20بودجه97-000324,2,210,198660000,939837,946000,946000,6163,0.66,946000,6163,0.66,946000,946000,1399-11-20
807,اخزا7214,اسنادخزانه-م21بودجه97-000728,2,3164000,2787719718000,879516,882633,879516,0,0.0,881074,1558,0.18,879516,882633,1399-11-20
808,ضشنا2010,اختيارخ شپنا-8000-1400/02/27,2,33,137790000,4100,4290,3030,-1070,-26.1,4175,75,1.83,3030,4290,1399-11-20
809,ضگل3002,اختيارخ كگل-16000-1400/03/23,2,25,95500000,1,3900,3800,3799,379900.0,3820,3819,381900.0,3800,3900,1399-11-20
810,فولاد2,فولاد مباركه اصفهان,2,655000000,6751750000000,10810,11350,10300,-510,-4.72,10308,-502,-4.64,10300,11350,1399-11-20
811,وسيلام,شركت س استان ايلام,2,12713,15001340,1240,1180,1180,-60,-4.84,1240,0,0.0,1180,1180,1399-11-20
812,اراد214,مرابحه عام دولت2ش.خ صادرات0212,2,56000000,52867612000000,1000000,942351,945778,-54222,-5.42,944064,-55936,-5.59,942351,945778,1399-11-20
813,اراد424,مرابحه عام دولت4-ش.خ 0106,2,18252000,16931878470000,1056250,894903,960442,-95808,-9.07,927672,-128578,-12.17,894903,960442,1399-11-20
814,اراد324,مرابحه عام دولت3-ش.خ0211,2,2000000,1768469000000,1000000,883389,885080,-114920,-11.49,884234,-115766,-11.58,883389,885080,1399-11-20
815,اخزا8134,اسنادخزانه-م13بودجه98-010219,2,434000,349330289000,800522,809295,800522,0,0.0,804908,4386,0.55,800522,809295,1399-11-20
816,شستا0042,اجاره تامين اجتماعي-نوين000523,2,850000,838100000000,990000,986000,986000,-4000,-0.4,986000,-4000,-0.4,986000,986000,1399-11-20
817,وسلرستا,شركت س استان لرستان,2,15900,13674000,900,860,860,-40,-4.44,900,0,0.0,860,860,1399-11-20
818,ضخوز2013,اختيارخ فخوز-12000-1400/02/15,2,102,230400000,2252,2600,2252,0,0.0,2259,7,0.31,2252,2600,1399-11-20
819,صخود412,ص مرابحه خودرو412- 3ماهه 18%,2,15000,14914800000,994320,994320,994320,0,0.0,994320,0,0.0,994320,994320,1399-11-20
820,اراد344,مرابحه عام دولت3-ش.خ 0305,2,19586000,16850687791000,1000000,860352,860335,-139665,-13.97,860343,-139657,-13.97,860335,860352,1399-11-20
821,اخزا8094,اسنادخزانه-م9بودجه98-000923,2,670000,577596280000,860969,863199,860969,0,0.0,862084,1115,0.13,860969,863199,1399-11-20
822,خاتم2,صندوق س خاتم ايساتيس پويا-ثابت,2,1500000,1500000,10508,1,1,-10507,-99.99,1,-10507,-99.99,1,1,1399-11-20
823,افاد614,منفعت دولت6-ش.خاص140109,1,5000000,4887495000000,979000,977499,977499,-1501,-0.15,977499,-1501,-0.15,977499,977499,1399-11-20
824,اراد354,مرابحه عام دولت3-ش.خ 0103,1,6215000,5958444800000,955100,958720,958720,3620,0.38,958720,3620,0.38,958720,958720,1399-11-20
825,پارسيانح,ح.بيمه پارسيان,1,700,6300000,9000,9000,9000,0,0.0,9000,0,0.0,9000,9000,1399-11-20
826,تملي709,تسهيلات مسكن ب. ملي-آذر97,1,9,5349852,625713,594428,594428,-31285,-5.0,594428,-31285,-5.0,594428,594428,1399-11-20
827,ضملي3001,اختيارخ فملي-9000-1400/03/02,1,3,7200000,2400,2400,2400,0,0.0,2400,0,0.0,2400,2400,1399-11-20
828,اراد434,مرابحه عام دولت4-ش.خ 0205,1,490000,456190000000,955000,931000,931000,-24000,-2.51,931000,-24000,-2.51,931000,931000,1399-11-20
829,ضجار2004,اختيارخ وتجارت-3500-1400/02/22,1,70,35000000,219,500,500,281,128.31,500,281,128.31,500,500,1399-11-20
830,پست0008پ09,پسته بادامي30-28مه ولات0008(پ),1,30,39000000,1300000,1300000,1300000,0,0.0,1300000,0,0.0,1300000,1300000,1399-11-20
831,بتك,كارخانجات كابل سازي‌ تك‌,1,150,5280900,33852,35206,35206,1354,4.0,33853,1,0.0,35206,35206,1399-11-20
832,ضملت3004,اختيارخ وبملت-5000-1400/03/19,1,3,2997000,1,999,999,998,99800.0,999,998,99800.0,999,999,1399-11-20
833,آوا2,صندوق س.سهام آواي معيار-س,1,5000000,5000000,8501,1,1,-8500,-99.99,1,-8500,-99.99,1,1,1399-11-20
834,ضغدر3000,اختيارخ وغدير-6200-1400/03/26,1,3,15750000,4405,5250,5250,845,19.18,5250,845,19.18,5250,5250,1399-11-20
835,ضملت3001,اختيارخ وبملت-3500-1400/03/19,1,10,9500000,550,950,950,400,72.73,950,400,72.73,950,950,1399-11-20
836,وهنر2,گروه توسعه هنر ايران,1,9000000,87165000000,9224,9685,9685,461,5.0,9685,461,5.0,9685,9685,1399-11-20
837,پارسا306,صكوك اجاره پارسيان-6ماهه16%,1,200,183262000,929657,916310,916310,-13347,-1.44,916310,-13347,-1.44,916310,916310,1399-11-20
838,وپارس2,بانك‌پارسيان‌,1,71940641,217260735820,2940,3020,3020,80,2.72,3020,80,2.72,3020,3020,1399-11-20
839,فجوش,جوش‌ و اكسيژن‌ ايران‌,1,5000,8035000,1531,1607,1607,76,4.96,1531,0,0.0,1607,1607,1399-11-20
840,ضفار3001,اختيارخ فارس-9000-1400/03/05,1,5,10000000,1973,2000,2000,27,1.37,2000,27,1.37,2000,2000,1399-11-20
841,ضپيك2009,اختيارخ تاپيكو-10000-00/02/19,1,5,12750000,2900,2550,2550,-350,-12.07,2550,-350,-12.07,2550,2550,1399-11-20
842,اخزا723,اسنادخزانه-م23بودجه97-000824,1,71,61779585,869297,870135,870135,838,0.1,870135,838,0.1,870135,870135,1399-11-20
843,همراه2,شركت ارتباطات سيار ايران,1,2529690,66505550100,26290,26290,26290,0,0.0,26290,0,0.0,26290,26290,1399-11-20
844,اشاد10,مشاركت دولتي10-شرايط خاص001226,1,100,96890000,960000,968900,968900,8900,0.93,968900,8900,0.93,968900,968900,1399-11-20
845,ونوين2,بانك‌اقتصادنوين‌,1,11092499,43593521070,3800,3930,3930,130,3.42,3930,130,3.42,3930,3930,1399-11-20
846,وسينا2,بانك سينا,1,18847383,66154314330,3540,3510,3510,-30,-0.85,3510,-30,-0.85,3510,3510,1399-11-20
847,اخزا9072,اسنادخزانه-م7بودجه99-020704,1,386734,238228144000,612903,616000,616000,3097,0.51,616000,3097,0.51,616000,616000,1399-11-20
848,تملي806,تسهيلات مسكن ب. ملي-شهريور98,1,7,5119856,769903,731408,731408,-38495,-5.0,731408,-38495,-5.0,731408,731408,1399-11-20
849,اراد55,مرابحه عام دولت5-ش.خ 0209,1,3000,2880000000,950000,960000,960000,10000,1.05,960000,10000,1.05,960000,960000,1399-11-20
850,شلرد02,كود شيميايي اوره لردگان,1,10,9930000,993000,993000,993000,0,0.0,993000,0,0.0,993000,993000,1399-11-20
851,عفولاد3,اوراق سلف موازي ورق گرم فولاد,1,10,8350660,829280,835066,835066,5786,0.7,835066,5786,0.7,835066,835066,1399-11-20
852,فملي2,ملي‌ صنايع‌ مس‌ ايران‌,1,5000000,52100000000,9930,10420,10420,490,4.93,10420,490,4.93,10420,10420,1399-11-20
853,شستا994,اجاره تامين اجتماعي-نوين991226,1,26,25831000,993500,993500,993500,0,0.0,993500,0,0.0,993500,993500,1399-11-20
854,شستا003,اجاره تامين اجتماعي-سپهر000523,1,90,89100000,990001,990000,990000,-1,0.0,990000,-1,0.0,990000,990000,1399-11-20
855,ضصاد3003,اختيارخ وبصادر-3000-1400/03/12,1,1,488000,399,488,488,89,22.31,488,89,22.31,488,488,1399-11-20
856,اراد604,مرابحه عام دولتي6-ش.خ0210,1,3300000,3024492900000,927000,916513,916513,-10487,-1.13,916513,-10487,-1.13,916513,916513,1399-11-20
857,اراد544,مرابحه عام دولت5-ش.خ 0109,1,3000000,2853900000000,964500,951300,951300,-13200,-1.37,951300,-13200,-1.37,951300,951300,1399-11-20
858,فنوال2,نورد آلومينيوم‌,1,18000000,471600000000,27510,26200,26200,-1310,-4.76,26200,-1310,-4.76,26200,26200,1399-11-20
859,اراد374,مرابحه عام دولت3-ش.خ 0005,1,500000,495916500000,1049977,991833,991833,-58144,-5.54,991833,-58144,-5.54,991833,991833,1399-11-20
860,ضترا3000,اختيارخ شتران-6000-1400/03/09,1,2,7800000,2450,3900,3900,1450,59.18,3900,1450,59.18,3900,3900,1399-11-20
861,تصميم2,صندوق س با درآمد ثابت تصميم,1,1000000,1000000,15581,1,1,-15580,-99.99,1,-15580,-99.99,1,1,1399-11-20
862,اراد494,مرابحه عام دولت4-ش.خ 0206,1,5920000,5573046560000,983405,941393,941393,-42012,-4.27,941393,-42012,-4.27,941393,941393,1399-11-20
863,وپاسار2,بانك  پاسارگاد,1,5000000,60250000000,11950,12050,12050,100,0.84,12050,100,0.84,12050,12050,1399-11-20
864,زعف0008پ12,زعفران0008پوشالمعمول سحرخيز(پ),1,65,5252000,82999,80800,80800,-2199,-2.65,80800,-2199,-2.65,80800,80800,1399-11-20
865,اراد534,مرابحه عام دولت5-ش.خ 0207,1,4755000,4502985000000,958293,947000,947000,-11293,-1.18,947000,-11293,-1.18,947000,947000,1399-11-20
866,اراد364,مرابحه عام دولت3-ش.خ 0104,1,550000,523490000000,950400,951800,951800,1400,0.15,951800,1400,0.15,951800,951800,1399-11-20
867,اراد22,مرابحه عام دولت2-ش.خ لوتوس0212,1,3000,2940000000,990000,980000,980000,-10000,-1.01,980000,-10000,-1.01,980000,980000,1399-11-20
868,شپنا2,پالايش نفت اصفهان,1,350000000,3752000000000,11170,10720,10720,-450,-4.03,10720,-450,-4.03,10720,10720,1399-11-20
869,اراد404,مرابحه عام دولت4-ش.خ 0207,1,3500000,3289573000000,999000,939878,939878,-59122,-5.92,939878,-59122,-5.92,939878,939878,1399-11-20
870,زير0003پ04,زيره سبز0003شركت مينوبذر(پ),1,95,46550000,482463,490000,490000,7537,1.56,490000,7537,1.56,490000,490000,1399-11-20
