,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
767,تملي701,تسهيلات مسكن ب. ملي-فروردين97,4,41,24672607,595238,624999,624999,29761,5.0,601771,6533,1.1,565477,624999,1399-11-20
768,اراد314,مرابحه عام دولت3-ش.خ 0208,4,20500000,18364001000000,1000000,894041,897300,-102700,-10.27,895805,-104195,-10.42,894041,897446,1399-11-20
769,ضفلا3003,اختيارخ فولاد-10000-1400/03/19,4,152,390800000,1987,3299,2501,514,25.87,2571,584,29.39,2500,3299,1399-11-20
770,ضخود2012,اختيارخ خودرو-6000-1400/02/08,4,40,1295000,35,34,31,-4,-11.43,32,-3,-8.57,31,34,1399-11-20
771,اخزا718,اسنادخزانه-م18بودجه97-000525,4,2653,2409839870,910076,907501,910000,-76,-0.01,908345,-1731,-0.19,907501,911000,1399-11-20
772,كمند2,صندوق س. با درآمد ثابت كمند,3,244000000,244000000,10022,1,1,-10021,-99.99,1,-10021,-99.99,1,1,1399-11-20
773,وسخراش,شركت س استان خراسان شمالي,3,20000,26200000,1370,1310,1310,-60,-4.38,1370,0,0.0,1310,1310,1399-11-20
774,زعف0008پ08,زعفران0008نگين روستا(پ),3,8000,992000000,124149,124000,124000,-149,-0.12,124000,-149,-0.12,124000,124000,1399-11-20
775,شسم,توليد سموم‌ علف‌ كش,3,8160,746199360,87929,91446,91446,3517,4.0,88181,252,0.29,91446,91446,1399-11-20
776,ضترا3003,اختيارخ شتران-9000-1400/03/09,3,32,64000000,1900,2000,2000,100,5.26,2000,100,5.26,2000,2000,1399-11-20
777,تفيرو,مهندسي فيروزا,3,604,11767128,19100,19482,19482,382,2.0,19100,0,0.0,19482,19482,1399-11-20
778,عيار2,صندوق س. پشتوانه طلاي مفيد,3,30000,30000,27447,1,1,-27446,-100.0,1,-27446,-100.0,1,1,1399-11-20
779,سپرمي,پرميت‌,3,10800,93571200,8495,8664,8664,169,1.99,8498,3,0.04,8664,8664,1399-11-20
780,اروند05,منفعت صبا اروند لوتوس 14001113,3,4500,4410000740,1005001,980001,980000,-25001,-2.49,980000,-25001,-2.49,980000,980001,1399-11-20
781,پست0008پ08,پسته فندقي32-30مه ولات0008(پ),3,430,576770000,1314000,1315000,1350000,36000,2.74,1341326,27326,2.08,1315000,1350000,1399-11-20
782,اخزا722,اسنادخزانه-م22بودجه97-000428,3,3550,3277061448,921510,927000,923001,1491,0.16,923116,1606,0.17,923001,927000,1399-11-20
783,تملي809,تسهيلات مسكن ب. ملي-آذر98,3,110,29260990,253342,266009,266009,12667,5.0,266009,12667,5.0,266009,266009,1399-11-20
784,ضپاس2000,اختيارخ وپارس-2000-1400/02/29,3,110,131500000,1250,1150,1250,0,0.0,1195,-55,-4.4,1150,1250,1399-11-20
785,وسمازن,س.سهام عدالت استان مازندران,3,21500,19995000,970,930,930,-40,-4.12,970,0,0.0,930,930,1399-11-20
